Rank,URL,Name,Industry,IncorporationYear,RevenueRsCrore,RevenueChange,NetOperatingIncomeRsCrore,NetOperatingIncomeChange,ProfitRsCrore,ProfitChange,AssetsRsCrore,AssetsChange,NetWorthRsCrore,NetWorthChange,EquityDividendRsCrore,EquityDividendChange,EmployeeCostRsCrore,EmployeeCostChange
872,https://www.fortuneindia.com/next-500/company/kamdhenu?year=2017,Kamdhenu,iron & steel,1994,849.67,13.21,841.19,13.1,8.15,1.49,224.45,5.8,105.68,6.2,1.64,0,28.88,27.73
873,https://www.fortuneindia.com/next-500/company/dhanuka-agritech?year=2017,Dhanuka Agritech,basic materials,1985,848.61,10.42,828.79,5.57,107.31,1.16,512.29,14.92,480.44,16.53,32.51,0,82.44,27.3
874,https://www.fortuneindia.com/next-500/company/quintiles-research-india?year=2017,Quintiles Research India,drugs & pharmaceuticals,2002,848.32,33.64,836,33.6,78.41,11.98,381.41,14.38,355.4,12.66,30.63,0,515.68,50.33
875,https://www.fortuneindia.com/next-500/company/precision-wires-india?year=2017,Precision Wires India,basic materials,1989,846.28,4.49,843.49,4.23,16.94,67.72,224.14,0.78,194.71,4.21,7.52,0,17.46,12.5
876,https://www.fortuneindia.com/next-500/company/balasore-alloys?year=2017,Balasore Alloys,metals & mining,1984,844.26,4.22,837.97,1.17,18.63,36.13,1040.23,0.71,435.58,9.46,4.73,0,56.77,6.72
877,https://www.fortuneindia.com/next-500/company/onmobile-global?year=2017,OnMobile Global,telecommunication,2000,844.22,2.79,815.74,3.7,12.64,0,627.78,11.14,603.82,8.08,16.22,0,217.2,22.01
878,https://www.fortuneindia.com/next-500/company/nitco?year=2017,Nitco,consumer durables,1966,842.29,1.32,831.58,6.04,60.18,0,1275.98,3.32,98.03,0,0,0,77.66,4.59
879,https://www.fortuneindia.com/next-500/company/national-seeds-corporation?year=2017,National Seeds Corporation,food & agri products,1963,841.74,2.27,761.72,13,43.41,11.77,764.09,4.16,541.38,5.74,11.46,0,136.92,13.04
880,https://www.fortuneindia.com/next-500/company/kmv-projects?year=2017,KMV Projects,engineering & construction,2007,841.36,16.66,822.4,15.77,46.66,15.75,389.63,44.9,180.95,34.6,0,0,32.61,27.23
881,https://www.fortuneindia.com/next-500/company/emco?year=2017,EMCO,capital goods,1964,839.33,11.86,843.42,13.13,45,0,1099.56,5.41,421.77,10.55,0,0,41.96,1.62
882,https://www.fortuneindia.com/next-500/company/mizuho-corporate-bank?year=2017,Mizuho Corporate Bank,banking,1995,837.25,17.67,768.49,7.87,263.88,50.15,14395.02,31.22,4228.12,6.66,0,0,92.14,18.97
883,https://www.fortuneindia.com/next-500/company/intellect-design-arena?year=2017,Intellect Design Arena,infotech,2011,836.76,31.51,810.66,33.17,16.84,0,645.19,2.72,619.05,0.03,0,0,638.82,20.25
884,https://www.fortuneindia.com/next-500/company/dwarikesh-sugar-industries?year=2017,Dwarikesh Sugar Industries,sugar,1993,836.44,11.71,794.34,5.6,38.97,0,789.32,6.21,85.91,18.09,0,0,49.68,4.3
885,https://www.fortuneindia.com/next-500/company/si-group-india?year=2017,SI Group - India,basic materials,1963,835.03,20.61,817.44,23.56,28.44,6.08,419.87,4.25,401.08,3.72,0,0,75.62,15.24
886,https://www.fortuneindia.com/next-500/company/datamatics-global-services?year=2017,Datamatics Global Services,infotech,1987,834.63,0,816.18,1.43,44.83,3.75,646.1,7.78,419.98,10.05,5.68,0,497.29,11.94
887,https://www.fortuneindia.com/next-500/company/v-mart-retail?year=2017,V-Mart Retail,retail trade,2002,833.11,12.58,809.38,12.38,27.63,26.06,268.21,10.86,230.72,12.58,2.26,0,61.67,28.85
888,https://www.fortuneindia.com/next-500/company/ksb-pumps?year=2017,KSB Pumps,capital goods,1960,832.87,1.58,820.73,2.12,68.73,0.45,640.63,3.69,602.85,8.19,19.14,0,124.85,1.78
889,https://www.fortuneindia.com/next-500/company/bannari-amman-spinning-mills?year=2017,Bannari Amman Spinning Mills,textiles & garments,1989,832.71,12.54,825.74,12.79,19.54,47.69,759.99,7.34,259.83,6.77,2.52,0,57.99,26.2
890,https://www.fortuneindia.com/next-500/company/sraac?year=2017,SRAAC,basic materials,1981,832.56,6.64,816.4,5.12,24.42,10.25,769.63,23.34,318.67,14.57,0,0,33.49,7.41
891,https://www.fortuneindia.com/next-500/company/gillanders-arbuthnot-company?year=2017,Gillanders Arbuthnot & Company,engineering & construction,1935,832.01,4.75,817.46,5.27,55.35,0,679.69,11.82,150.51,26.89,0,0,142.42,14.2
892,https://www.fortuneindia.com/next-500/company/mk-agrotech?year=2017,MK Agrotech,food & agri products,1995,830.36,7.03,825.37,9.69,35.1,7.7,346.99,29.89,184.82,23.44,0,0,7.04,50.11
893,https://www.fortuneindia.com/next-500/company/ugar-sugar-works?year=2017,Ugar Sugar Works,sugar,1939,828.47,16.1,837.3,28.4,11.28,0,382.65,35.1,90.85,9.52,0,0,67.66,12.56
894,https://www.fortuneindia.com/next-500/company/mangalam-cement?year=2017,Mangalam Cement,cement,1976,823.92,13.94,841.76,8.69,20.47,0,997.54,1.05,490.76,4.31,1.33,0,64.63,11.95
895,https://www.fortuneindia.com/next-500/company/garware-wall-ropes?year=2017,Garware-Wall Ropes,basic materials,1976,823.16,3.75,824.82,5.44,61.9,43.55,408.58,15.34,365.4,17.64,7.22,0,92.79,10.15
896,https://www.fortuneindia.com/next-500/company/vesuvius-india?year=2017,Vesuvius India,basic materials,1991,821.51,17.41,819.15,17.28,87.11,18.37,580.05,14.91,568.21,14.33,13.19,0,56.29,21.16
897,https://www.fortuneindia.com/next-500/company/aarvee-denims-exports?year=2017,Aarvee Denims & Exports,textiles & garments,1988,820.38,9.98,841.22,12.84,7.03,3600,651.32,2.61,263.89,3.1,0,0,52.27,17.65
